section,category,brand_a,brand_b,trans_ab,trans_ab_pm,avg_qty_a_when_pair,avg_qty_b_when_pair
-,4251 - CLEANING EQUIPMENT,ETERNA,SCORLINES,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
-,4251 - CLEANING EQUIPMENT,ETERNA,SCOTCH BRITE,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
-,6235 - FROZEN MEAT BALLS,KIMBO,SO GOOD,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
-,6235 - FROZEN MEAT BALLS,KIMBO,SUMBER SELERA,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
-,6235 - FROZEN MEAT BALLS,SO GOOD,SUMBER SELERA,4,1.3333333333333333,1.00000000000000000000,1.00000000000000000000
-,6236 - FROZEN SAUSAGES,BELFOODS,KANZLER,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
-,6236 - FROZEN SAUSAGES,BELFOODS,SO NICE,1,0.33333333333333333333,1.00000000000000000000,2.0000000000000000
-,6236 - FROZEN SAUSAGES,BENFARM,CHAMP,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
-,6236 - FROZEN SAUSAGES,BENFARM,KANZLER,7,2.3333333333333333,1.1428571428571429,1.2857142857142857
-,6236 - FROZEN SAUSAGES,CHAMP,KANZLER,3,1.00000000000000000000,1.00000000000000000000,1.3333333333333333
ACCESSORIES,5523 - MENS SOCK,ALFA,ALFAMART,5,1.6666666666666667,1.00000000000000000000,1.2000000000000000
ACCESSORIES,5523 - MENS SOCK,ALFA,PRINGLE,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
ACCESSORIES,5812 - HAIR ACCESSORIES,ALFA,SCORLINES,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
ACCESSORIES,5813 - PIN & SCISSORS NAIL,ALFA,SCORLINES,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
ACCESSORIES,5813 - PIN & SCISSORS NAIL,SCORLINES,TRENDY,1,0.33333333333333333333,1.00000000000000000000,2.0000000000000000
ACCESSORIES,5911 - HAIR ACCESSORIES IMPORT,ALFA,FROZEN,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,AIRPRO,ALFAMART,1,0.50000000000000000000,1.00000000000000000000,2.0000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,AIRPRO,AMBI PUR,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,AIRPRO,BAYFRESH,4,1.3333333333333333,1.00000000000000000000,1.2500000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,AIRPRO,GLADE,2,1.00000000000000000000,1.00000000000000000000,1.5000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,AIRPRO,STELLA,6,2.0000000000000000,1.00000000000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,ALFA,ALFAMART,14,4.6666666666666667,1.3529411764705882,1.5294117647058824
AIR FRESHNER,4741 - CAR AIR FRESHENER,ALFA,AMBI PUR,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,ALFA,BAYFRESH,6,2.0000000000000000,1.6666666666666667,1.1111111111111111
AIR FRESHNER,4741 - CAR AIR FRESHENER,ALFA,STELLA,3,1.00000000000000000000,1.7500000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,ALFAMART,BAYFRESH,6,2.0000000000000000,1.9000000000000000,1.2000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,ALFAMART,GLADE,4,1.3333333333333333,1.00000000000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,ALFAMART,STELLA,1,0.50000000000000000000,2.0000000000000000,2.0000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,AMBI PUR,BAGUS,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,AMBI PUR,BAYFRESH,4,1.3333333333333333,1.00000000000000000000,1.4000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,AMBI PUR,STELLA,6,2.0000000000000000,1.1250000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,BAGUS,BAYFRESH,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,BAGUS,STELLA,3,1.00000000000000000000,1.3333333333333333,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,BAYFRESH,GLADE,4,1.3333333333333333,1.2000000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,BAYFRESH,STELLA,7,2.3333333333333333,1.1111111111111111,1.1111111111111111
AIR FRESHNER,4741 - CAR AIR FRESHENER,GLADE,STELLA,5,1.6666666666666667,1.4000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),153 KRETEK,SAMPOERNA,1,0.33333333333333333333,4.0000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),AROMA,DJARUM,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),AROMA,DJI SAM SOE,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),AROMA,HS,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),AROMA,WIN,1,0.50000000000000000000,1.00000000000000000000,3.0000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),AROMA,WISMILAK,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,CAMEL,3,1.00000000000000000000,2.3333333333333333,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,DJARUM,4,1.3333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,DJI SAM SOE,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,ENVIO,4,1.3333333333333333,1.00000000000000000000,1.7500000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,GUDANG GARAM,2,1.00000000000000000000,2.0000000000000000,1.5000000000000000
