section,category,subcategory_a,subcategory_b,trans_ab,trans_ab_pm,avg_qty_a_when_pair,avg_qty_b_when_pair
-,4251 - CLEANING EQUIPMENT,4251B - CLEANING EQUIPMENT TOILET,4251C - CLEANING EQUIPMENT KITCHEN,4,1.3333333333333333,1.00000000000000000000,1.00000000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,4741A - CAR AIR FRESHENER GEL,4741B - CAR AIR FRESHENER PAPPER,26,8.6666666666666667,1.4500000000000000,1.1250000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,4741A - CAR AIR FRESHENER GEL,4741C - CAR AIR FRESHENER LIQUID,7,2.3333333333333333,1.3000000000000000,1.1000000000000000
AIR FRESHNER,4741 - CAR AIR FRESHENER,4741B - CAR AIR FRESHENER PAPPER,4741C - CAR AIR FRESHENER LIQUID,25,8.3333333333333333,1.0666666666666667,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),2411A - SKT (SIGARET KRETEK TANGAN) 10-12,2411B - SKT (SIGARET KRETEK TANGAN) 16-20,19,6.3333333333333333,1.5185185185185185,1.2222222222222222
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,123,41.0000000000000000,2.1677852348993289,1.6912751677852349
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2412A - SKM (SIGARET KRETEK MESIN) LTLN 12,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,25,8.3333333333333333,1.00000000000000000000,1.0333333333333333
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,2412B - SKM (SIGARET KRETEK MESIN) LTLN 16,2412C - SKM (SIGARET KRETEK MESIN) LTLN 20,190,63.3333333333333333,1.2352941176470588,1.0882352941176471
BACKWALL,2413 - SKM (SIGARET KRETEK MESIN) FF,2413A - SKM (SIGARET KRETEK MESIN) FF 12,2413B - SKM (SIGARET KRETEK MESIN) FF 16,80,26.6666666666666667,1.3181818181818182,1.2272727272727273
BACKWALL,2413 - SKM (SIGARET KRETEK MESIN) FF,2413A - SKM (SIGARET KRETEK MESIN) FF 12,2413C - SKM (SIGARET KRETEK MESIN) FF 20,14,4.6666666666666667,1.1500000000000000,1.3500000000000000
BACKWALL,2413 - SKM (SIGARET KRETEK MESIN) FF,2413B - SKM (SIGARET KRETEK MESIN) FF 16,2413C - SKM (SIGARET KRETEK MESIN) FF 20,21,7.0000000000000000,1.4090909090909091,1.5000000000000000
