BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
ALFAMART,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.03,1.05,0.0194,43.0,42.67,-0.0077,1.13,1.23,0.0885,31886.0,32300.0,0.013,36082.0,39754.0,0.1018,76.0,104.0,0.3684
KHONG GUAN,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.05,1.03,-0.019,45.5,50.33,0.1062,1.08,1.11,0.0278,93480.0,86662.0,-0.0729,101270.0,96220.0,-0.0499,84.0,136.0,0.619
MONDE,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.0,1.02,0.02,24.5,18.33,-0.2518,1.0,1.0,0.0,79716.0,81116.0,0.0176,79716.0,81116.0,0.0176,49.0,55.0,0.1224
NISSIN,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.02,1.02,0.0,20.0,17.33,-0.1335,1.08,1.16,0.0741,53198.0,52898.0,-0.0056,57511.0,61127.0,0.0629,37.0,45.0,0.2162
TANGO,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.14,1.04,-0.0877,7.0,28.33,3.0471,1.0,1.01,0.01,31757.0,28924.0,-0.0892,31757.0,29268.0,-0.0784,14.0,84.0,5.0
BISKUAT,2222A - COOKIES BISCUIT 15-30G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.23,,,73.33,,,1.08,,,7530.0,,,8121.0,,,204.0,
CHOCOLITO,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.78,1.46,-0.1798,241.5,170.0,-0.2961,1.16,1.18,0.0172,10867.0,8985.0,-0.1732,12557.0,10632.0,-0.1533,418.0,431.0,0.0311
HELLO PANDA,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.68,1.64,-0.0238,503.0,579.33,0.1517,1.13,1.17,0.0354,15821.0,15171.0,-0.0411,17843.0,17780.0,-0.0035,892.0,1483.0,0.6626
LEMONILO,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.27,1.31,0.0315,534.0,590.33,0.1055,1.16,1.2,0.0345,17584.0,18050.0,0.0265,20346.0,21585.0,0.0609,923.0,1481.0,0.6046
LOTTE,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.35,1.41,0.0444,199.5,131.0,-0.3434,1.23,1.22,-0.0081,12658.0,12927.0,0.0213,15540.0,15729.0,0.0122,325.0,323.0,-0.0062
MONDE,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.62,1.71,0.0556,4.0,4.67,0.1675,1.0,1.0,0.0,13062.0,13179.0,0.009,13062.0,13179.0,0.009,8.0,14.0,0.75
PAROTI,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.12,1.18,0.0536,277.5,298.67,0.0763,1.12,1.15,0.0268,11676.0,12521.0,0.0724,13092.0,14347.0,0.0959,495.0,782.0,0.5798
DILAN,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.2,,,5.0,,,1.0,,,11400.0,,,11400.0,,,15.0,
GOOD TIME,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.35,1.32,-0.0222,1154.5,987.67,-0.1445,1.17,1.2,0.0256,13302.0,13313.0,0.0008,15552.0,15964.0,0.0265,1975.0,2471.0,0.2511
MONDE,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.13,1.17,0.0354,69.5,93.0,0.3381,1.12,1.14,0.0179,16076.0,16449.0,0.0232,18021.0,18809.0,0.0437,124.0,244.0,0.9677
NEXTAR,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.19,1.35,0.1345,246.5,247.33,0.0034,1.16,1.23,0.0603,11385.0,12811.0,0.1253,13237.0,15765.0,0.191,424.0,603.0,0.4222
NISSIN,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.15,1.17,0.0174,690.0,674.33,-0.0227,1.25,1.31,0.048,13205.0,13501.0,0.0224,16521.0,17632.0,0.0672,1103.0,1549.0,0.4044
ROMA,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.11,1.05,-0.0541,65.5,74.67,0.14,1.06,1.07,0.0094,12073.0,11481.0,-0.049,12755.0,12246.0,-0.0399,124.0,210.0,0.6935
