PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
466032,EXTRA JOSS ULTIMATE CAN 250ML,1111 - ENERGY DRINK,CHILLER,1.67,1.21,-0.2754,4.5,4.67,0.0378,1.29,1.75,0.3566,14167.0,10321.0,-0.2715,18214.0,18062.0,-0.0083,7.0,8.0,0.1429
137399,HEMAVITON ENERGY DRINK BTL150ML,1111 - ENERGY DRINK,CHILLER,1.26,1.0,-0.2063,9.5,2.0,-0.7895,1.27,1.0,-0.2126,8163.0,6633.0,-0.1874,10340.0,6633.0,-0.3585,15.0,6.0,-0.6
6140,KRATINGDAENG BTL 150ML,1111 - ENERGY DRINK,CHILLER,1.0,1.27,0.27,6.5,7.33,0.1277,1.08,1.0,-0.0741,6546.0,8332.0,0.2728,7092.0,8332.0,0.1748,12.0,22.0,0.8333
6157,KRATINGDAENG SUPER BTL 150ML,1111 - ENERGY DRINK,CHILLER,1.0,1.0,0.0,0.5,0.67,0.34,1.0,1.0,0.0,8100.0,8300.0,0.0247,8100.0,8300.0,0.0247,1.0,2.0,1.0
400060,M-150 ENERGY DRINK CAN 250ML,1111 - ENERGY DRINK,CHILLER,1.0,1.0,0.0,0.5,0.67,0.34,1.0,1.0,0.0,8400.0,8400.0,0.0,8400.0,8400.0,0.0,1.0,2.0,1.0
6139,M-150 ENERGY DRINK BTL 150ML,1111 - ENERGY DRINK,CHILLER,1.0,1.0,0.0,0.5,2.67,4.34,1.0,1.0,0.0,6500.0,6600.0,0.0154,6500.0,6600.0,0.0154,1.0,8.0,7.0
262620,NEO HORMOVITON PASAK BUMI 150ML,1111 - ENERGY DRINK,CHILLER,1.08,1.2,0.1111,6.0,5.0,-0.1667,1.0,1.07,0.07,7033.0,7753.0,0.1024,7033.0,8307.0,0.1811,12.0,14.0,0.1667
112898,RED BULL ENERGY DRINK CAN 250ML,1111 - ENERGY DRINK,CHILLER,1.0,,,0.5,,,1.0,,,25000.0,,,25000.0,,,1.0,,
990146,RED BULL GOLD CAN 250ML,1111 - ENERGY DRINK,CHILLER,1.0,1.18,0.18,5.5,3.67,-0.3327,1.83,5.5,2.0055,8900.0,10636.0,0.1951,16317.0,58500.0,2.5852,6.0,2.0,-0.6667
432876,A&W SARSAPARILA CAN 250ML,1112 - CARBONATED DRINK,CHILLER,1.17,1.0,-0.1453,3.0,2.33,-0.2233,1.2,1.0,-0.1667,7917.0,6771.0,-0.1448,9500.0,6771.0,-0.2873,5.0,7.0,0.4
448656,BIG RASA NIPIS MADU PET 350ML,1112 - CARBONATED DRINK,CHILLER,,1.11,,,6.0,,,1.06,,,4428.0,,,4688.0,,,17.0,
435574,CHIFOREST SPRK PEACH PET 480ML,1112 - CARBONATED DRINK,CHILLER,1.12,1.0,-0.1071,4.0,2.0,-0.5,1.14,1.0,-0.1228,10550.0,9450.0,-0.1043,12057.0,9450.0,-0.2162,7.0,6.0,-0.1429
435575,CHIFOREST SPRK LYCHEE PET480ML,1112 - CARBONATED DRINK,CHILLER,1.14,1.07,-0.0614,3.5,4.67,0.3343,1.0,1.0,0.0,10714.0,10086.0,-0.0586,10714.0,10086.0,-0.0586,7.0,14.0,1.0
443621,CHIFOREST SPRK GRAPE PET 480ML,1112 - CARBONATED DRINK,CHILLER,1.0,1.0,0.0,4.0,4.67,0.1675,1.0,1.4,0.4,9350.0,9407.0,0.0061,9350.0,13170.0,0.4086,8.0,10.0,0.25
466953,CHIFOREST SPRKBAMBOO GRPFR450ML,1112 - CARBONATED DRINK,CHILLER,1.25,1.07,-0.144,2.0,5.0,1.5,1.0,1.15,0.15,11500.0,9740.0,-0.153,11500.0,11238.0,-0.0228,4.0,13.0,2.25
109618,COCA COLA ZERO SUGAR CAN 250ML,1112 - CARBONATED DRINK,CHILLER,1.0,1.0,0.0,1.5,1.0,-0.3333,1.5,1.0,-0.3333,6800.0,6733.0,-0.0099,10200.0,6733.0,-0.3399,2.0,3.0,0.5
115701,COCA COLA PET 1L,1112 - CARBONATED DRINK,CHILLER,1.0,1.05,0.05,9.0,18.67,1.0744,1.29,1.19,-0.0775,10300.0,11112.0,0.0788,13243.0,13240.0,-0.0002,14.0,47.0,2.3571
436814,COCA COLA ZERO SUGAR PET 390ML,1112 - CARBONATED DRINK,CHILLER,1.33,1.18,-0.1128,6.0,3.67,-0.3883,1.0,1.22,0.22,8000.0,6955.0,-0.1306,8000.0,8500.0,0.0625,12.0,9.0,-0.25
441517,COCA COLA ZERO PET 1L,1112 - CARBONATED DRINK,CHILLER,1.0,1.62,0.62,3.0,2.67,-0.11,1.0,1.6,0.6,10400.0,17062.0,0.6406,10400.0,27300.0,1.625,6.0,5.0,-0.1667
