SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.1,1.09,-0.0091,132.0,148.67,0.1263,1.09,1.16,0.0642,67150.0,60293.0,-0.1021,73254.0,70028.0,-0.044,242.0,384.0,0.5868
2222A - COOKIES BISCUIT 15-30G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.23,,,73.33,,,1.08,,,7530.0,,,8121.0,,,204.0,
2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.49,1.47,-0.0134,1698.5,1715.33,0.0099,1.21,1.27,0.0496,15184.0,15430.0,0.0162,18349.0,19591.0,0.0677,2811.0,4053.0,0.4418
2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.29,1.3,0.0078,2170.5,2022.33,-0.0683,1.24,1.3,0.0484,13509.0,13824.0,0.0233,16783.0,17970.0,0.0707,3494.0,4667.0,0.3357
2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.16,1.18,0.0172,1130.5,1275.67,0.1284,1.21,1.25,0.0331,13486.0,13326.0,-0.0119,16271.0,16644.0,0.0229,1874.0,3064.0,0.635
2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.11,1.19,0.0721,704.0,767.33,0.09,1.2,1.25,0.0417,14874.0,15625.0,0.0505,17823.0,19602.0,0.0998,1175.0,1835.0,0.5617
2222F - HEALTHY COOKIES BISCUIT,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,2.06,2.55,0.2379,946.5,1199.33,0.2671,1.22,1.31,0.0738,16065.0,17617.0,0.0966,19583.0,23091.0,0.1791,1553.0,2745.0,0.7675
2223A - CRACKER BISCUIT 10-30G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.53,1.37,-0.1046,117.0,77.33,-0.3391,1.11,1.12,0.009,5768.0,5208.0,-0.0971,6396.0,5837.0,-0.0874,211.0,207.0,-0.019
2223B - CRACKER BISCUIT 35-99G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.25,1.25,0.0,1555.5,1699.67,0.0927,1.22,1.31,0.0738,10795.0,10983.0,0.0174,13119.0,14378.0,0.096,2560.0,3895.0,0.5215
2223C - CRACKER BISCUIT 100-180G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.24,1.26,0.0161,1530.0,1464.33,-0.0429,1.24,1.29,0.0403,10917.0,11460.0,0.0497,13503.0,14746.0,0.0921,2474.0,3414.0,0.38
2223D - CRACKER BISCUIT 200-260G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.15,1.17,0.0174,983.5,915.0,-0.0696,1.22,1.27,0.041,13382.0,13561.0,0.0134,16299.0,17202.0,0.0554,1615.0,2164.0,0.3399
2223E - CRACKER BISCUIT 300-400G,2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.16,1.22,0.0517,200.0,233.0,0.165,1.23,1.25,0.0163,20485.0,21372.0,0.0433,25290.0,26629.0,0.0529,324.0,561.0,0.7315
2224A - MARIE BISCUIT 30-85G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,,1.13,,,37.67,,,1.08,,,14280.0,,,15368.0,,,105.0,
2224B - MARIE BISCUIT 100-190G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.18,1.18,0.0,939.0,981.67,0.0454,1.18,1.24,0.0508,13068.0,12991.0,-0.0059,15377.0,16116.0,0.0481,1596.0,2374.0,0.4875
2224C - MARIE BISCUIT 200-250G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.16,1.14,-0.0172,243.5,223.33,-0.0828,1.15,1.21,0.0522,30147.0,29955.0,-0.0064,34790.0,36162.0,0.0394,422.0,555.0,0.3152
2225A - PIE BISCUIT 32-110G,2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.07,1.1,0.028,101.0,112.33,0.1122,1.1,1.12,0.0182,14396.0,15446.0,0.0729,15804.0,17236.0,0.0906,184.0,302.0,0.6413
2225B - PIE BISCUIT 150-200G,2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.04,1.07,0.0288,82.5,90.67,0.099,1.08,1.1,0.0185,12148.0,12850.0,0.0578,13101.0,14093.0,0.0757,153.0,248.0,0.6209
2226A - SANDWICH BISCUIT 10-49G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.19,1.18,-0.0084,104.0,119.33,0.1474,1.13,1.15,0.0177,10238.0,10476.0,0.0232,11574.0,12020.0,0.0385,184.0,312.0,0.6957
2226B - SANDWICH BISCUIT 50-99G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.26,1.23,-0.0238,1009.5,870.0,-0.1382,1.17,1.22,0.0427,11573.0,11340.0,-0.0201,13553.0,13851.0,0.022,1724.0,2137.0,0.2396
2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.25,1.29,0.032,2815.5,3429.67,0.2181,1.26,1.36,0.0794,13322.0,13427.0,0.0079,16843.0,18308.0,0.087,4454.0,7546.0,0.6942
2226D - SANDWICH BISCUIT 160-229G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.17,1.19,0.0171,882.0,821.0,-0.0692,1.17,1.25,0.0684,18784.0,20717.0,0.1029,22046.0,25862.0,0.1731,1503.0,1973.0,0.3127
2226E - SANDWICH BISCUIT 230-500G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.8,1.68,-0.0667,111.5,9.33,-0.9163,1.21,1.4,0.157,51121.0,35250.0,-0.3105,61622.0,49350.0,-0.1991,185.0,20.0,-0.8919
2227A - WAFER BISCUIT PACK,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.2,1.19,-0.0083,201.5,109.67,-0.4557,1.16,1.18,0.0172,11353.0,11396.0,0.0038,13185.0,13438.0,0.0192,347.0,279.0,-0.196
2227B - WAFER BISCUIT 10-40G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.47,1.38,-0.0612,74.0,71.33,-0.0361,1.08,1.09,0.0093,15051.0,13898.0,-0.0766,16259.0,15097.0,-0.0715,137.0,197.0,0.438
2227C - WAFER BISCUIT 45-95G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.34,1.26,-0.0597,252.0,319.33,0.2672,1.07,1.14,0.0654,10347.0,10409.0,0.006,11048.0,11885.0,0.0758,472.0,839.0,0.7775
2227D - WAFER BISCUIT 100-145G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.39,1.58,0.1367,2972.0,2586.33,-0.1298,1.32,1.37,0.0379,14275.0,16170.0,0.1327,18801.0,22119.0,0.1765,4513.0,5672.0,0.2568
2227E - WAFER BISCUIT 150-260G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.72,2.02,0.1744,12.5,14.67,0.1736,1.19,1.38,0.1597,25052.0,26711.0,0.0662,29824.0,36728.0,0.2315,21.0,32.0,0.5238
2227F - WAFER BISCUIT 300-350G,2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.03,1.08,0.0485,56.0,48.0,-0.1429,1.11,1.12,0.009,27987.0,30210.0,0.0794,31035.0,33986.0,0.0951,101.0,128.0,0.2673
2228B - STICK BISCUIT 18-35G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.39,1.32,-0.0504,959.5,707.0,-0.2632,1.19,1.17,-0.0168,13548.0,12385.0,-0.0858,16078.0,14442.0,-0.1018,1617.0,1819.0,0.1249
2228C - STICK BISCUIT 36-50G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.68,1.42,-0.1548,1668.5,1140.67,-0.3164,1.19,1.21,0.0168,15346.0,12400.0,-0.192,18296.0,14957.0,-0.1825,2799.0,2837.0,0.0136
2228D - STICK BISCUIT 51-100G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.16,1.19,0.0259,510.5,615.67,0.206,1.13,1.19,0.0531,11584.0,12168.0,0.0504,13069.0,14471.0,0.1073,905.0,1553.0,0.716
2228E - STICK BISCUIT 110-350G,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.11,1.13,0.018,201.0,155.0,-0.2289,1.16,1.22,0.0517,21560.0,22929.0,0.0635,24978.0,27984.0,0.1203,347.0,381.0,0.098
2228I - STICK BISCUIT CUP,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.42,1.99,0.4014,682.5,931.33,0.3646,1.22,1.29,0.0574,9088.0,10398.0,0.1441,11116.0,13457.0,0.2106,1116.0,2159.0,0.9346
2228J - STICK BISCUIT PACK,2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.0,,,3.5,,,1.0,,,19000.0,,,19000.0,,,7.0,,
2229A - SOFT CAKE <90G,2229 - SOFT CAKE,BISC & CONFECTIONARY,1.18,1.16,-0.0169,168.5,138.0,-0.181,1.12,1.13,0.0089,11091.0,10595.0,-0.0447,12376.0,12018.0,-0.0289,302.0,365.0,0.2086
2229B - SOFT CAKE >90G,2229 - SOFT CAKE,BISC & CONFECTIONARY,1.12,1.12,0.0,285.0,256.33,-0.1006,1.18,1.2,0.0169,22418.0,22013.0,-0.0181,26511.0,26408.0,-0.0039,482.0,641.0,0.3299
2301A - JELLY BAG,2301 - JELLY & PUDDING,BISC & CONFECTIONARY,1.21,1.21,0.0,409.5,415.0,0.0134,1.28,1.39,0.0859,12430.0,12138.0,-0.0235,15906.0,16866.0,0.0604,640.0,896.0,0.4
2301B - JELLY PACK,2301 - JELLY & PUDDING,BISC & CONFECTIONARY,1.39,1.94,0.3957,80.5,101.67,0.263,1.29,1.3,0.0078,6530.0,8206.0,0.2567,8410.0,10651.0,0.2665,125.0,235.0,0.88
2312A - CHINESE PRESERVED FRUIT,2312 - CHINESE PRESERVED FRUIT,BISC & CONFECTIONARY,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,34900.0,35900.0,0.0287,34900.0,35900.0,0.0287,1.0,1.0,0.0
2322A - CAN CANDY,2322 - CAN & BOTTLE CANDY,BISC & CONFECTIONARY,1.18,1.03,-0.1271,57.0,48.0,-0.1579,1.04,1.05,0.0096,17521.0,12602.0,-0.2807,18158.0,13246.0,-0.2705,110.0,137.0,0.2455
2323A - BAG CANDY,2323 - BAG CANDY,BISC & CONFECTIONARY,1.26,1.32,0.0476,1316.5,1315.33,-0.0009,1.18,1.26,0.0678,12401.0,13530.0,0.091,14669.0,17080.0,0.1644,2226.0,3126.0,0.4043
